VALUE_ID|COA_VALUE|CODE_DESC
307007|2-301SXP|"SXP Default"
307437|026616|"Spotless Head Office"
307441|026527|"Securecorp - Head Office"
307483|026509|"IRT Head Office"
307521|026522|"City of Canterbury Bankstown - Head Office"
307531|019411|"Centuria - Head Office : Centuria Property Services"
307539|031038|"Westrac Head Office"
307558|028484|"Coles - Head Office"
307598|032556|"Monash University - Head Office"
307624|028201|"MBRC Head Office"
308656|010097|"Mss Security Pty Ltd - Head Office"
308659|026665|"BGIS - Head Office"
308661|026432|"Jones Lang Lassale - Head Office"
308673|026799|"Colliers International - Head Office"
308679|010126|"Chubb Electronic Security - Head Office"
308682|029404|"Chubb Electronic Security - Head Office : Chubb Retail Accounts"
308693|026084|"Honeywell Head Office"
308710|026446|"Queensland Department of Health Head Office"
308722|031053|"Adt Security - Head Office"
308729|026927|"Lever Property"
308803|032430|"Illawarra Coal Holdings Pty Ltd - Head Office"
308808|028994|"Halliburton - Head Office"
308810|026854|"Government Property - Head Office"
308816|030075|"SA Housing Authority - Head Office"
308841|013575|"Brisbane City Council - Head Office"
308876|024238|"Knight Frank - Head Office"
308889|022128|"City Facilities Management (Aus) Pty Ltd - Head Office"
308953|030094|"Sheffield Asset Management Head Office"
308973|029000|"CPB BAM Ghella UGL JV -Head office"
308985|026492|"Aveo - Head Office"
309031|030047|"Cushman & Wakefield Head Office"
309058|029715|"Chubb Electronic Security - Head Office : Chubb Home Security"
309066|017193|"John Holland Pty Ltd"
309110|032478|"A.I. Security - Head Office"
309113|026885|"A.W. Edwards - Head Office"
309182|028740|"AGC Pro-Tec Pty Ltd - Head Office"
309205|020744|"Air Cond. & Mech. Contractors"
309216|026835|"Akzo Nobel - Head Office"
309218|028429|"Alarmquip - Head Office"
309232|032468|"Alinea Inc - Head office"
309247|026730|"Allnex Head Office"
309255|032400|"Altegra Property Group Head Office"
309306|026656|"Apa - Head Office"
309360|032462|"Arrcs - Head Office"
309373|025749|"Aspen Pharma Pty Ltd - Head Office"
309376|026529|"Assa Abloy - Head Office"
309388|013607|"Atco Structures & Logistics - Head Office"
309410|027136|"Austral Bricks - Head Office"
309419|020353|"Australian Broadcasting Corporation"
309451|032469|"Australian Trade College North Brisbane Ltd - Head Office"
309481|027110|"AWTA Head office"
309492|032445|"Back To Base Security - Head Office"
309515|031414|"Banyule City Council - Head Office"
309519|026092|"Baptist Care - Head Office"
309535|026461|"Baxter - Head Office"
309548|026743|"Bedford Phoenix - Head Office"
309565|031097|"Bega Dairy And Drinks Head Office"
309573|031262|"Belgravia Leisure Head Office"
309607|032455|"Best Bar Reinforcements - Head Office"
309620|029719|"BGC (Australia) Pty Ltd - Head Office"
309651|028728|"Bishops Real Estate - Head Office"
309702|028485|"Border Security - Head Office"
309747|027052|"Department of Housing - Head Office"
309750|026502|"Echor DFS - Head Office"
309792|031407|"G James Safety Glass P/L - Head Office"
309823|032435|"GBC Australia Pty Ltd - Head Office"
309879|026531|"Government of SA"
309888|027192|"Grace H Pty Ltd - Head Office"
309910|026462|"Grosswaddell Head Office"
309931|032436|"I 7 Pty Ltd - Head Office"
310008|029709|"Lendlease - Head Office"
310025|013603|"JB Hi-Fi - Head Office"
310112|026464|"Access Health - Head Office"
310141|031058|"Adbri Masonry Pty Ltd - Head Office"
310162|032453|"Advanced Lock And Security - Head Office"
310170|026607|"Advent Security Services - Head Office : XYZ Security Service"
310171|013773|"Advent Security Services - Head Office"
310174|032579|"Aegis Aged Care Group - Head Office"
310179|026469|"Agar - Head Office"
310184|027557|"AHG - Head Office"
310209|027111|"Allianz - Head Office"
310273|026613|"Asahi Beverage - Head Office"
310306|031424|"Atlas Copco Rental P/L - Head Office"
310311|026576|"Ausco - Head Office"
310347|026093|"Australian Terminal Operations Mgmt P/L - Head Office"
310476|027164|"Blackwoods - Head Office"
310477|026439|"Blue Care - Head Office"
310514|032456|"Blue Ridge Self Storage - Head Office"
310517|026121|"Bluescope - Head Office"
310537|027141|"BMW - Head Office"
310566|019928|"Body Corporate For 46 Edward St"
310618|026530|"Boral - Head Office"
310666|026644|"Braddan - Head Office"
310669|026617|"Bradken - Head office"
310672|032457|"Bradnam's Windows & Doors - Head Office"
310748|032458|"Broadcast Australia - Head Office"
310808|026849|"Bullivants - Head Office"
310817|026549|"Burgess Rawson - Head Office"
310847|013732|"Burton Contractors Pty Ltd"
310858|032470|"Byee Property Pty Ltd - Head Office"
310899|027258|"Calamity - Head Office"
310922|026503|"Caltex - Head Office"
310969|032465|"Carbal Medical Centre - Head Office"
310977|029701|"Cardinia Shire Council - Head Office"
311015|030103|"Catholic Education Office - Head Office"
311021|026138|"CBRE - Head Office"
311101|032461|"Centacare - Head Office"
311156|032406|"Chas Kelly Transport - Head office"
311159|032459|"Chem Supply - Head Office"
311162|026481|"Chep Head Office"
311234|029064|"City of Armadale Head office"
311242|031426|"City Of Boroondara - Head Office"
311260|032591|"City Of Norwood Swimming Centre - Head Office"
311266|026830|"City of Sydney - Head Office"
311271|026560|"City of West Torrens - Head Office"
311290|032460|"Citywatch Security - Head Office"
311311|026139|"Cleanaway - Head Office"
311341|026449|"Clintons Toyota - Head Office"
311359|026641|"Coast Community Connections - Head Office"
311362|031057|"Coates Hire Operations Pty Ltd - Head Office"
311412|026491|"Collins Restaurant Management - Head Office"
311424|026145|"Comcater - Head Office"
311433|026106|"Commercial Property - Head Office"
311442|019088|"Commercial Sa - Head Office"
311463|026110|"Compass Group - Head Office"
311498|028827|"Constant Security Services Pty Ltd - Head Office"
311521|032433|"Cooldrive Distribution - Head Office"
311530|026733|"Coregas Head Office"
311565|028754|"Cowley - Head Office"
311571|026410|"CPA - Head Office"
311583|031423|"CPG RM Pty Ltd ATF The CPG AFM - Head Office"
311592|026563|"CPSU - Head Office"
311616|026860|"Cross Promotions - Head Office"
311630|026565|"CSR - Head Office"
311654|026608|"Cummins - Head Office"
311712|027135|"Darveniza Group - Head Office"
311727|018802|"Davalan Concrete Pty Ltd"
311758|026425|"DB - Head Office"
311770|029024|"De Luca - Head Office"
311776|026347|"De Martini Fletcher - Head Office"
311827|032431|"Dedicated Monitoring Centre Pty Ltd - Head Office"
311850|026874|"Department of Biodiversity - Head Office"
311855|027288|"Department of Communities - Head Office"
311863|026099|"Department of Infrastructure - Head Office"
311878|029698|"Department of Transport & Main Roads - Head Office"
311881|029318|"Department of Transport & Main Roads - Head Office"
311884|028487|"Dept of Education - Head Office"
311908|032475|"Devonfield Enterprises - Head Office"
311917|028382|"DHHS - Head Office"
311999|026571|"Downer - Head Office"
312023|026653|"DPG Services - Head Office"
312044|026900|"DR Stephen Morris - Head Office"
312050|027624|"Dr. Buchhotz - Head Office"
312118|024950|Ecowise
312133|026630|"Elders Rural - Head Office"
312151|026451|"Elg Recycling Processors - Head Office"
312157|026666|"Elgas Limited : Elgas"
312168|029027|"Ellison - Head Office"
312198|029104|"EMRC Head Office"
312230|027189|"Epic Energy - Head Office"
312271|031430|"Exedy Australia Pty Ltd - Head Office"
312280|032581|"Eximm - Head Office"
312317|028704|"Fawkner Property Pty Ltd - Head Office"
