FROM_CURRENCY|TO_CURRENCY|RATE_DATE|RATE_TYPE|CONVERSION_RATE|INVERSE_RATE
AUD|EUR|01-APR-2022|Spot|0.675716714|1.47991
AUD|EUR|01-DEC-2021|Spot|0.630015142|1.58726
AUD|EUR|01-FEB-2022|Spot|0.630000912|1.5873
AUD|EUR|01-JAN-2022|Spot|0.638845285|1.56532
AUD|EUR|01-JUN-2022|Spot|0.669541159|1.49356
AUD|EUR|01-MAR-2022|Spot|0.646960708|1.54569
AUD|EUR|01-MAY-2022|Spot|0.69|1.44928
AUD|EUR|01-NOV-2021|Spot|0.650703462|1.5368
AUD|EUR|01-OCT-2021|Spot|0.624374|1.6016
AUD|EUR|02-APR-2022|Spot|0.678515569|1.47381
AUD|EUR|02-DEC-2021|Spot|0.630413568|1.58626
AUD|EUR|02-FEB-2022|Spot|0.632686534|1.58056
AUD|EUR|02-JAN-2022|Spot|0.638913404|1.56516
AUD|EUR|02-JUN-2022|Spot|0.672947227|1.486
AUD|EUR|02-MAR-2022|Spot|0.652706775|1.53208
AUD|EUR|02-MAY-2022|Spot|0.69|1.44928
AUD|EUR|02-NOV-2021|Spot|0.649993935|1.53848
AUD|EUR|02-OCT-2021|Spot|0.626862802|1.59525
AUD|EUR|03-APR-2022|Spot|0.678118579|1.47467
AUD|EUR|03-DEC-2021|Spot|0.627130529|1.59456
AUD|EUR|03-FEB-2022|Spot|0.630533408|1.58596
AUD|EUR|03-JAN-2022|Spot|0.63919315|1.56447
AUD|EUR|03-JUN-2022|Spot|0.675644215|1.48007
AUD|EUR|03-MAR-2022|Spot|0.655630846|1.52525
AUD|EUR|03-MAY-2022|Spot|0.69|1.44928
AUD|EUR|03-NOV-2021|Spot|0.641575239|1.55866
AUD|EUR|03-OCT-2021|Spot|0.626034444|1.59736
AUD|EUR|04-APR-2022|Spot|0.679053016|1.47264
AUD|EUR|04-DEC-2021|Spot|0.620097557|1.61265
AUD|EUR|04-FEB-2022|Spot|0.625130157|1.59967
AUD|EUR|04-JAN-2022|Spot|0.637364196|1.56896
AUD|EUR|04-JUN-2022|Spot|0.672934307|1.48603
AUD|EUR|04-MAR-2022|Spot|0.66173225|1.51119
AUD|EUR|04-MAY-2022|Spot|0.69|1.44928
